timestamp,dataset,t,prompt,cfg,lora,block,seed,probe_acc,knn_acc,n_train,n_test,train_file
2026-08-11T13:37:51,cub,300,P2,2.0,none,cond/up_0,0,0.1773,0.0621,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:37:52,cub,300,P2,2.0,none,cond/up_1,0,0.2049,0.0625,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:37:53,cub,300,P2,2.0,none,cond/up_2,0,0.1300,0.0488,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:37:53,cub,300,P2,2.0,none,cfg/down_2,0,0.2320,0.0796,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:37:54,cub,300,P2,2.0,none,cfg/mid,0,0.2259,0.0885,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:37:54,cub,300,P2,2.0,none,cfg/up_0,0,0.1798,0.0649,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:37:54,cub,300,P2,2.0,none,cfg/up_1,0,0.2028,0.0623,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:37:55,cub,300,P2,2.0,none,cfg/up_2,0,0.1307,0.0468,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:38:09,cub,300,P2,5.0,none,cond/down_2,0,0.2285,0.0732,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:10,cub,300,P2,5.0,none,cond/mid,0,0.2223,0.0865,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:10,cub,300,P2,5.0,none,cond/up_0,0,0.1786,0.0656,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:11,cub,300,P2,5.0,none,cond/up_1,0,0.2147,0.0671,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:11,cub,300,P2,5.0,none,cond/up_2,0,0.1296,0.0492,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:12,cub,300,P2,5.0,none,cfg/down_2,0,0.2799,0.0951,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:12,cub,300,P2,5.0,none,cfg/mid,0,0.2432,0.0949,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:13,cub,300,P2,5.0,none,cfg/up_0,0,0.1845,0.0627,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:13,cub,300,P2,5.0,none,cfg/up_1,0,0.2144,0.0673,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:13,cub,300,P2,5.0,none,cfg/up_2,0,0.1232,0.0447,5994,5794,cub_train_t300_P2_cfg5.0.pt
2026-08-11T13:38:32,cub,300,P3,0.0,none,cond/down_2,0,0.9218,0.2342,5994,5794,cub_train_t300_P3_cfg0.0.pt
2026-08-11T13:38:33,cub,300,P3,0.0,none,cond/mid,0,0.9411,0.2741,5994,5794,cub_train_t300_P3_cfg0.0.pt
2026-08-11T13:38:33,cub,300,P3,0.0,none,cond/up_0,0,0.6966,0.1060,5994,5794,cub_train_t300_P3_cfg0.0.pt
2026-08-11T13:38:34,cub,300,P3,0.0,none,cond/up_1,0,0.6914,0.1086,5994,5794,cub_train_t300_P3_cfg0.0.pt
